Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Find-Flights,1,878,878,878,878,878,878,878,0.000%,1.13895,5.29,0.13
Choose-Flights,1,545,545,545,545,545,545,545,0.000%,1.83486,12.98,0.23
Purchase,1,551,551,551,551,551,551,551,0.000%,1.81488,11.90,0.23
Choose_Payment,1,410,410,410,410,410,410,410,0.000%,2.43902,13.77,0.31
TOTAL,4,596,545,878,878,878,410,878,0.000%,1.67294,10.01,0.21
