Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/success.txt-164,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/success.txt-165,1,31,31,31,31,31,31,31,0.000%,32.25806,6.80,9.61
/canonical.html-166,1,26,26,26,26,26,26,26,0.000%,38.46154,11.19,11.38
/success.txt-168,1,26,26,26,26,26,26,26,0.000%,38.46154,8.11,11.46
/success.txt-169,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/purchase.php-167,1,347,347,347,347,347,347,347,0.000%,2.88184,7.57,1.97
/canonical.html-170,1,26,26,26,26,26,26,26,0.000%,38.46154,11.19,11.38
/success.txt-171,1,27,27,27,27,27,27,27,0.000%,37.03704,7.81,11.03
/success.txt-172,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
TOTAL,83,71,28,30,357,943,26,1106,0.000%,13.91450,5.12,4.39
